WEIGHT NAME                                        SHAPE             MIN           MAX           STD      
bn4g_branch2a_2/moving_variance:0                  (256,)           +0.2755        +3.4157      +0.6010   
res4g_branch2b_2/kernel:0                     (3, 3, 256, 256)      -0.1271        +0.1231      +0.0098   
res4g_branch2b_2/bias:0                            (256,)           -0.0044        +0.0032      +0.0012   
bn4g_branch2b_2/gamma:0                            (256,)           +0.4751        +1.7336      +0.1333   
bn4g_branch2b_2/beta:0                             (256,)           -1.2614        +0.1900      +0.2693   
bn4g_branch2b_2/moving_mean:0                      (256,)           -0.9138        +0.8013      +0.2403   
bn4g_branch2b_2/moving_variance:0                  (256,)           +0.0337        +0.5631      +0.0711   
res4g_branch2c_2/kernel:0                    (1, 1, 256, 1024)      -0.1536        +0.2370      +0.0120   
res4g_branch2c_2/bias:0                           (1024,)           -0.0083        +0.0083      +0.0024   
bn4g_branch2c_2/gamma:0                           (1024,)           +0.0907        +1.8097      +0.1972   
bn4g_branch2c_2/beta:0                            (1024,)           -0.9016        +0.2926      +0.1411   
bn4g_branch2c_2/moving_mean:0                     (1024,)           -0.1636        +0.0711      +0.0339   
bn4g_branch2c_2/moving_variance:0                 (1024,)           +0.0009        +0.0321      +0.0033   
res4h_branch2a_2/kernel:0                    (1, 1, 1024, 256)      -0.1293        +0.1603      +0.0118   
res4h_branch2a_2/bias:0                            (256,)           -0.0009        +0.0007      +0.0003   
bn4h_branch2a_2/gamma:0                            (256,)           +0.6202        +1.2079      +0.0980   
bn4h_branch2a_2/beta:0                             (256,)           -1.4124        +0.0712      +0.2610   
bn4h_branch2a_2/moving_mean:0                      (256,)           -3.4425        +2.5030      +0.8797   
bn4h_branch2a_2/moving_variance:0                  (256,)           +0.3146        +2.6701      +0.4704   
res4h_branch2b_2/kernel:0                     (3, 3, 256, 256)      -0.0999        +0.1200      +0.0103   
res4h_branch2b_2/bias:0                            (256,)           -0.0056        +0.0069      +0.0016   
bn4h_branch2b_2/gamma:0                            (256,)           +0.4724        +1.4768      +0.1470   
bn4h_branch2b_2/beta:0                             (256,)           -1.5817        +0.4324      +0.2521   
bn4h_branch2b_2/moving_mean:0                      (256,)           -0.6978        +0.9014      +0.1644   
bn4h_branch2b_2/moving_variance:0                  (256,)           +0.0297        +0.4195      +0.0563   
res4h_branch2c_2/kernel:0                    (1, 1, 256, 1024)      -0.1493        +0.2391      +0.0123   
res4h_branch2c_2/bias:0                           (1024,)           -0.0071        +0.0081      +0.0024   
bn4h_branch2c_2/gamma:0                           (1024,)           +0.0532        +2.4672      +0.2958   
bn4h_branch2c_2/beta:0                            (1024,)           -0.7953        +0.3313      +0.1519   
bn4h_branch2c_2/moving_mean:0                     (1024,)           -0.1890        +0.1145      +0.0347   
bn4h_branch2c_2/moving_variance:0                 (1024,)           +0.0006        +0.0432      +0.0041   
res4i_branch2a_2/kernel:0                    (1, 1, 1024, 256)      -0.1308        +0.2974      +0.0132   
res4i_branch2a_2/bias:0                            (256,)           -0.0008        +0.0009      +0.0003   
bn4i_branch2a_2/gamma:0                            (256,)           +0.3549        +1.0498      +0.1261   
bn4i_branch2a_2/beta:0                             (256,)           -1.4706        +0.4588      +0.2771   
